tip_label;region;family;Genera;hoarding_status;development_mode;fam_sys_known_nk50;fam_sys_inferred_nk50;incubation_period;in_nest_period;independ_period;time_after_fl_parents;fam_time;median_clutch_size;zoolrec_hits;brain_size;mov_min;mov_max;terr_sys;terr_sys_source;body_weight;weight_source;food_diversity;food_energy_mean;food_fibres_mean;habitat_gen_spec;flocking_tendency;flocking_reason;foraging.method;INTRA_COL;HET_COL;invertivore;aquatic;vertivore;carnivore;nectarivore;frugivore;granivore;plants;diet;Bio1_mean;Bio2_mean;Bio3_mean;Bio4_mean;Bio7_mean;Bio12_mean;Bio15_mean;altitude_mean;npp_mean;hoard;hoard2;type;strategy;strat_final;foodPCA1;foodPCA2;foodPCA3;foodPCA4;NestPlacement;A1;A2;A3;A4
Circus_melanoleucos;Palearctic;Accipitridae;Circus;non_hoarder;altrical;NA;NA;NA;NA;NA;NA;NA;4;20;NA;3;3;;;358.75;hbw;0.921945157;199.31;0.62;specialist;NA;NA;AerialScreaning;acolonial;acolonial;10;0;90;0;0;0;0;0;vertivore;-0.976214588;13.0236829;2.356930293;1502.207384;54.60174888;518.9148546;99.16327038;626.9167618;1.93E+11;0;N;;N;no;0.082651844;-0.084760799;-0.304441069;-0.472685983;ExposedGround;0.082651844;-0.084760799;-0.304441069;-0.472685983
Circus_pygargus;Palearctic;Accipitridae;Circus;hoarder;altrical;no_fam;no_fam;NA;NA;10;10;0;4;578;NA;3;3;semi_colonial;hbw;324;hbw;0.921945157;199.31;0.62;generalist;NA;unknown;AerialScreaning;semi;acolonial;10;0;90;0;0;0;0;0;vertivore;6.088759121;9.859636308;2.53708675;1057.760902;39.40692355;480.1281801;33.17538096;332.548402;1.64E+11;1;Y;L;PR;provision;0.172059845;-0.101159396;-0.349248428;-0.510593384;ExposedGround;0.172059845;-0.101159396;-0.349248428;-0.510593384
Circus_ranivorus;Africa;Accipitridae;Circus;hoarder;altrical;family;family;NA;NA;NA;82;NA;3;29;NA;0;2;breeding_terr;hbw;486;hbw;1.570964811;195.743;1.12;specialist;usually;family;AerialScreaning;acolonial;acolonial;10;0;80;10;0;0;0;0;vertivore;20.80391542;13.23552292;6.264019485;244.5765389;21.60574212;894.3605248;84.41266883;1034.030098;4.81E+11;1;Y;UNK;PR;provision;0.242746642;-0.113903738;-0.381397466;-0.532349742;ExposedGround;0.242746642;-0.113903738;-0.381397466;-0.532349742
Circus_spilonotus;Widespread;Accipitridae;Circus;non_hoarder;altrical;NA;NA;NA;NA;NA;NA;NA;5;28;NA;3;3;;;575;hbw;0.921945157;192.68608;0.4;specialist;NA;NA;AerialScreaning;acolonial;acolonial;0;10;90;0;0;0;0;0;vertivore;-3.629642963;12.31342718;2.227598528;1560.653617;55.56757113;466.1730113;82.77951804;680.0099733;1.53E+11;0;N;;N;no;0.31403525;-0.125587032;-0.410031609;-0.547210282;ExposedGround;0.31403525;-0.125587032;-0.410031609;-0.547210282
Cissa_chinensis;Indomalayan;Corvidae;Cissa;non_hoarder;altrical;NA;no_fam;NA;NA;NA;NA;NA;5;7;3.5742;0;0;;;126.75;hbw;2.121939582;172.573;2.72;specialist;no_flocks;no_flocks;Gleaning;acolonial;acolonial;40;0;40;10;0;10;0;0;omnivore;21.54298319;10.22735985;5.335802845;304.4037993;20.22588423;1879.126683;78.22027839;826.2236718;5.55E+11;0;N;;N;no;-0.104922599;-0.047043867;-0.189131879;-0.344710232;ExposedElevated;-0.104922599;-0.047043867;-0.189131879;-0.344710232
Cissa_hypoleuca;Indomalayan;Corvidae;Cissa;non_hoarder;altrical;NA;no_fam;NA;NA;NA;NA;NA;NA;3;NA;0;0;;;143;Elton_GenAvg;1.485491605;187.75;1.5;specialist;no_flocks;no_flocks;GroundGeneralist;acolonial;acolonial;50;0;50;0;0;0;0;0;omnivore;21.47401631;8.155669087;4.278121359;414.9042485;20.54367662;1609.982164;76.0444564;453.8275328;4.49E+11;0;N;;N;no;-0.104922599;-0.047043867;-0.189131879;-0.344710232;ExposedElevated;NA;NA;NA;NA
Cissa_thalassina;Indomalayan;Corvidae;Cissa;non_hoarder;altrical;NA;no_fam;NA;NA;NA;NA;NA;2;2;NA;0;0;;;164;Elton_PrimScale;0.469015229;176.19;2.38;specialist;no_flocks;no_flocks;GroundGeneralist;acolonial;acolonial;90;0;10;0;0;0;0;0;invertivore;22.70911854;7.981079027;8.795744681;26.14589666;9.102963526;3278.418693;23.0881459;789.2748217;8.45E+11;0;N;;N;no;-0.292780471;0.006335009;0.026693431;0.011634769;ExposedElevated;-0.292780471;0.006335009;0.026693431;0.011634769
Cisticola_aberrans;Africa;Cisticolidae;Cisticola;control_species;altrical;family;family;14;13.5;24.5;185;160.5;3;6;NA;0;0;breeding_terr;hbw;14.21842103;hbw;2.22E-05;173.3;2.6;specialist;usually;family;Gleaning;acolonial;acolonial;100;0;0;0;0;0;0;0;invertivore;20.07625834;13.28062944;5.737162234;301.3453057;23.05978065;822.74849;90.83442831;982.4550584;4.47E+11;0;NA;NA;NA;no;-0.292780471;0.006335009;0.026693431;0.011634769;Cavity;-0.292780471;0.006335009;0.026693431;0.011634769
Cisticola_brunnescens;Africa;Cisticolidae;Cisticola;control_species;altrical;family;coop;12;13;NA;NA;NA;3;10;NA;0;0;breeding_terr;hbw;9;hbw;2.22E-05;173.3;2.6;generalist;NA;family;GroundGeneralist;acolonial;acolonial;100;0;0;0;0;0;0;0;invertivore;20.7894751;13.41814195;6.254331399;202.0027324;21.66543651;1156.365943;89.08770746;1118.432217;5.90E+11;0;NA;NA;NA;no;-0.292780471;0.006335009;0.026693431;0.011634769;Cavity;-0.292780471;0.006335009;0.026693431;0.011634769
Cisticola_chiniana;Africa;Cisticolidae;Cisticola;control_species;altrical;coop;coop;13.5;14;NA;NA;NA;3;16;NA;0;0;year_round_terr;hbw;14;hbw;0.469015229;166.75;2.44;specialist;usually;family;Gleaning;acolonial;acolonial;90;0;0;0;10;0;0;0;invertivore;22.17382942;13.17081211;6.504447466;201.0190049;20.58500124;963.192979;88.58796044;941.1321392;5.17E+11;0;NA;NA;NA;no;-0.292780471;0.006335009;0.026693431;0.011634769;Cavity;-0.292780471;0.006335009;0.026693431;0.011634769
